Id,internal_boundaries_as_seconds,ng_h_only,ng_z_only,Title
6321191,"87.11426188490408,90.57547956630525,94.03669724770641","hL,hR","zCU,zCU",the_saint_1997
6643713,"79.69140950792327,84.23686405337781,89.90825688073394","hL,hR","zCU,zCU",die_hard_1988
6667186,"89.74145120934112,90.61718098415346,97.99833194328608","hL,hR","zCU,zCU",mission_impossible_iii_2006

